algorithm,pca_dim,n_clusters,n_clusters_found_mean,variance_explained_mean,silhouette_mean,mi_mean,precision_mean,recall_mean,f1_mean,combined_score_mean,n_clusters_found_std,variance_explained_std,silhouette_std,mi_std,precision_std,recall_std,f1_std,combined_score_std
gmm,2,3,3.0,0.2500784151942746,0.8150595712821125,0.35554869938653644,11.721009239516704,12.666858734274465,12.175592045314174,1.1706082706686491,0.0,8.981832498908263e-11,0.03938264728837382,0.01803767936268306,5.3754388172299645,5.812766778984776,5.585556060568427,0.02134496798926444
gmm,2,4,4.0,0.2500784151942746,0.7825607591482348,0.36812852541033547,7.887023714361843,8.527801786228753,8.194905869324476,1.1506892845585701,0.0,8.981832498908263e-11,6.776239017171783e-05,4.968545058134748e-06,8.881784197001252e-16,0.0,0.0,7.272702250829339e-05
gmm,2,5,5.0,0.2500784151942746,0.6659529911881229,0.36445034990340863,7.822410147991543,8.527801786228753,8.159889731219849,1.0304033410915316,0.0,8.981832498908263e-11,7.797654293652114e-06,3.204937810639273e-17,0.0,0.0,0.0,7.797654293633813e-06
gmm,2,7,7.0,0.2500784151942746,0.6595641584947506,0.36456011415796535,7.8182804103619326,8.527801786228753,8.15764162117978,1.024124272652716,0.0,8.981832498908263e-11,0.01284803311850585,0.00023571337430807238,0.004459504376596222,0.0,0.00242791770044838,0.012889861186748104
gmm,4,2,2.0,0.43117509635816414,0.6243383448098377,0.11302737850268334,9.571598765922563,10.352444060309228,9.94671832073167,0.737365723312521,0.0,1.598848256068919e-09,0.10493670327783122,0.15570006623332402,3.0097413064406124,3.2467664259063844,3.123768136187017,0.2606283620037017
gmm,4,3,3.0,0.43117509635816414,0.6323902220806406,0.20888026762002596,7.647358603596057,8.268510515701527,7.945813376626674,0.8412704897006664,0.0,1.598848256068919e-09,0.07898219386744616,0.14561176179535376,0.3796027066133805,0.4074369237606151,0.3930331075138399,0.22459395565479637
gmm,4,4,4.0,0.43117509635816414,0.6826726858659641,0.3605230167963944,7.911111111111111,8.547008547008547,8.216775146563267,1.0431957026623586,0.0,1.598848256068919e-09,0.016039932503290312,0.00022572192651330948,0.012570787221094887,0.013581230792020184,0.01305648859689964,0.01581421059325303
gmm,4,5,5.0,0.43117509635816414,0.6701183850346797,0.3625446601087116,7.608610387176956,8.508595025448956,8.032205329202425,1.0326630451433914,0.0,1.598848256068919e-09,0.01703029857532394,0.002653281168345729,0.21915099364432417,0.0489678240045408,0.13767173664425802,0.01614520811180063
gmm,4,7,7.0,0.43117509635816414,0.6532241331127472,0.3656704283835759,7.910407298794396,8.547008547008547,8.216395472997393,1.018894561496323,0.0,1.598848256068919e-09,0.0008570536892379607,0.0005127012672169198,0.012103849633423543,0.013581230792020184,0.012796470371753755,0.000418613708622929
gmm,6,2,2.0,0.5715889716524069,0.3049820186628394,0.14158096826464803,47.192804627880484,51.32046480361088,49.161113413897475,0.44656298692748747,0.0,9.779818900896522e-07,0.24987353477761226,0.13643934488640103,28.413790403322714,30.238630945291195,29.313018855302307,0.38631285806500215
gmm,6,3,3.0,0.5715889716524069,0.5492374324136984,0.2395932358652794,8.044183129676838,8.700662633246903,8.359553445914374,0.7888306682789779,0.0,9.779818900896522e-07,0.05966839943062192,0.16758063062202205,0.23116587108479078,0.2444621542563683,0.2376576897160315,0.22724893671997265
gmm,6,4,4.0,0.5715889716524069,0.42653610161739336,0.24211340771117618,7.663333333333334,8.450974743109574,8.036095290192938,0.6686495093285695,0.0,9.779818900896522e-07,0.04419373611912018,0.16165785651745812,0.36298148100909505,0.1493935387122262,0.26857639192343996,0.20585158716475085
gmm,6,5,5.0,0.5715889716524069,0.4421559899639689,0.24320624280391567,8.17362989202705,8.931143762604437,8.535326398906497,0.6853622327678845,0.0,9.779818900896522e-07,0.0397655034990604,0.16884757964491015,0.5565700279100345,0.5296680008887996,0.5444573727221418,0.1991211702285333
gmm,6,7,7.0,0.5715889716524069,0.4568564885974404,0.3679350159826964,7.83489506305953,8.547008547008547,8.175176758129474,0.8247915045801367,0.0,9.779818900896522e-07,0.03360463320259237,0.0035163089500590407,0.08941169780310597,0.013581230792020184,0.04708833407547936,0.030176636854461102
gmm,8,2,2.0,0.6619908319926427,0.6567239990227193,0.11384455966773431,25.82846859565611,27.955440314990877,26.849712853307057,0.7705685586904535,0.0,6.798672665150252e-06,0.18621877471170092,0.15475860476447026,19.962450680238558,21.521751820277583,20.71299029259055,0.2151489019235978
gmm,8,3,3.0,0.6619908319926427,0.6057063073864878,0.3390640358402129,7.836105181591324,8.556611927398444,8.180246303520757,0.9447703432267006,0.0,6.798672665150252e-06,0.018251002493974693,0.012845506231060169,0.09129797443145368,0.0,0.04993093008541364,0.005405513785233388
gmm,8,4,4.0,0.6619908319926427,0.5682333179016039,0.3479980824656475,7.849193907139177,8.547008547008547,8.18318829223265,0.9162314003672515,0.0,6.798672665150252e-06,0.04329026712894469,0.010822117381804507,0.03197724321680657,0.013581230792020184,0.011798007199654181,0.035353641195995496
gmm,8,5,5.0,0.6619908319926427,0.5084657114392287,0.34421255696555897,7.874188309382945,8.547008547008547,8.196781781758917,0.8526782684047877,0.0,6.798672665150252e-06,0.08600022179536053,0.006856096613715597,0.04323482549426125,0.013581230792020184,0.02942369138274748,0.08714167075522596
gmm,8,7,7.0,0.6619908319926427,0.459857994460868,0.35753075837366816,7.85797043250076,8.527801786228752,8.179126246560308,0.8173887528345359,0.0,6.798672665150252e-06,0.052827251541283884,0.001633937187551492,0.04941207997813436,0.023523381761098583,0.032574788885464105,0.05423423786229134
fcm,2,2,2.0,0.2500784151942746,0.8730020527941712,0.3281891964955539,29.05891762196747,31.403053874963987,30.185544170589864,1.201191249289725,0.0,8.981832498908263e-11,9.326303873328323e-07,0.0,3.552713678800501e-15,0.0,0.0,9.326303873851382e-07
fcm,2,3,3.0,0.2500784151942746,0.6477795000030643,0.3458593736226337,9.051445475117724,9.843464899644674,9.430547351050024,0.9936388736256978,0.0,8.981832498908263e-11,0.17087960187805656,0.01035634488679454,1.9786276741149251,2.050765849595096,2.015496561997371,0.18123594676479343
fcm,2,4,4.0,0.2500784151942746,0.417394759634087,0.3535866211545429,4.843592330978809,5.531547104580812,5.164761264290517,0.7709813807886299,0.0,8.981832498908263e-11,7.619692133922326e-06,0.0,0.0,0.0,0.0,7.619692133877026e-06
fcm,2,5,5.0,0.2500784151942746,0.3769176276139679,0.35212985851365985,14.320408527998039,18.66897147796024,16.208081060795596,0.7290474861276278,0.0,8.981832498908263e-11,7.503723107449251e-06,3.204937810639273e-17,0.05353180485014071,0.08148738475212276,0.06499650523090852,7.503723107449869e-06
fcm,2,7,7.0,0.2500784151942746,0.2903050713906462,0.3539884075810635,5.4351440499853645,6.002112743685777,5.704572522134726,0.6442934789717096,0.0,8.981832498908263e-11,0.08752710202625942,0.0008077110543729079,1.479874403888298,1.6433289258344812,1.557335045464052,0.08833481308052378
fcm,4,2,2.0,0.43117509635816414,0.7786723369544006,0.32843156530057516,9.28,10.025929127052722,9.638554216867469,1.107103902254976,0.0,1.598848256068919e-09,2.7817014065095634e-06,0.0,0.0,0.0,0.0,2.781701406466796e-06
fcm,4,3,3.0,0.43117509635816414,0.8251345347711033,0.33338399716205,16.453333333333333,17.7758571016998,17.08904583852652,1.1585185319331532,0.0,1.598848256068919e-09,3.239093106635986e-06,0.0,0.0,0.0,0.0,3.239093106591526e-06
fcm,4,4,4.0,0.43117509635816414,0.764863572869899,0.3348558237100207,7.894736842105263,8.556611927398444,8.212360016590626,1.0997193965799197,0.0,1.598848256068919e-09,5.0598817571227074e-05,2.3718050539345093e-06,0.0,0.0,0.0,5.2925255537775814e-05
